순번,논리컬럼명,물리컬럼명,데이터,데이터 타입,기본값,제한조건,데이터 소스,컬럼설명,코드 테이블
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 중구 태평로 1가 68,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,027392160,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,19970117,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101111366271,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1228164297,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,420824,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,문화종합건설,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,4112,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,"MOONHWA CONSTRUCTION CO., LTD",VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,문화종합건설,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,문은주,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,인천광역시 부평구 부평동 546-47 문 화빌딩,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,0325220333,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,0325130333,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20001214,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1246110238459,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1018142151,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,389439,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,한국종합미디어,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,58122,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,"HAN KOOK MASS MEDIA CO.,LTD",VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,한국종합미디어,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,이순임,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 종로구 종로6가 242-1 한덕빌딩 808호,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,19920720,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101110855134,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1208199413,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,454016,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,아이펜텍,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,58221,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,IPENTEC INC.,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,아이펜텍,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,강명필,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,https://www.ipentec.co.kr,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 강남구 역삼동 651-3 한솔빌딩 3층,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,025087666,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,025087668,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20000203,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101111870545,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,5038129674,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,452072,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,대홍염공,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,13402,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,대홍염공,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,박영모,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,대구광역시 서구 이현동 42-273,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,0535652781,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,0535652786,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,19960301,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1701110095150,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1018170055,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,437602,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,지오항공여행사,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,52941,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,geoclub.co.kr,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,지오항공여행사,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,이덕일,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,https://www.geoclub.co.kr,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 용산구 한남동 737-28 안성타워3층,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,027202500,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,027370548,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20010509,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101112234328,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,2038164636,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,365518,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,헤이아니타코리아,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,61299,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,"HeyAnita Korea, Inc.",VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,헤이아니타코리아,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,이중삼,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,https://www.heyanita.co.kr,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 강남구 청담동 92-8,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,0221404600,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,0221404699,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,19990701,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101111725493,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1268513823,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,246967,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,태산산업개발,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,34011,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,"TAESAN INDUSTRIAL DEVELOPMENT.CO.,LTD",VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,태산산업개발,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,이원규,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,경기도 광주시 퇴촌면 광동리 243,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,0317688123,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,0317674010,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,19971201,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1836110013099,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1238153584,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,445559,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,군포종합시장,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,68129,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,군포종합시장,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,"박태안, 김우경",VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,경기도 군포시 산본동 1142-12 군포상가 7층 701,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,0314179700,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,0314182700,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20000117,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1351110050272,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,1,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1308137923,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,444657,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,기우,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,30,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,KIU CORPORATION,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,기우,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,김규환,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,경기도 시흥시 정왕동 1272-7 시화공단3라222호,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,0314333322,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,0314333230,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,19910102,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1243110030827,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
